工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
【急招】Python工程师【外派嘉实基金】,北京·朝阳区·国贸,神州信息,15-25K,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/b43e9afee3596e9b1Xd60tu6.html
配置管理工程师,北京·西城区·长椿街,中国移动研究院,20-40K·13薪,本科,数据服务,3-5年,https://www.zhipin.com/gongsi/82520fefdaff620f1nJ92NS9EQ~~.html
Python/Go后端开发工程师 — 抖音,北京·海淀区·中关村,北京字节跳动,25-50K,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
云计算开发工程师,北京·海淀区·上地,联通云数据有限公司,25-35K,本科,运营商/增值服务,3-5年,https://www.zhipin.com/gongsi/c7f730eac88329a31XZ72t20FA~~.html
Windows桌面测试,北京·朝阳区·望京,阿里巴巴集团,24-45K·16薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/5d627415a46b4a750nJ9.html
python研发工程师-远程驾驶平台方向,北京·海淀区·五道口,AutoX无人驾驶,25-50K·15薪,不限,互联网,1-3年学历,https://www.zhipin.com/gongsi/896fd1650f6897e71n1y2t-_FFQ~.html
后端开发工程师,北京·海淀区·牡丹园,字节跳动,25-50K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/1311d10fe26c4ee51Hd73ti0FA~~.html
大数据开发（Python后端方向）,北京·西城区·西单,联通支付,25-35K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/8e6212a76d62964733Jz3N0~.html
风险科技工程师,北京·朝阳区·国贸,嘉实基金,20-40K,本科,互联网金融,1年以内,https://www.zhipin.com/gongsi/dd241686245c0f4a1nN52ty7.html
python开发工程师,北京,华为技术有限公司,20-40K·15薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
Python,北京·海淀区·西北旺,腾讯科技(北京)公司,15-30K·16薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/ff3526a5364ae28e1Hd939q-.html
Python爬虫工程师,北京,途家网,20-30K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/e5111c1b4928964b33V53w~~.html
后端开发工程师,北京·朝阳区·望京,网神信息技术(北...,25-50K·14薪,本科,信息安全,经验不限,https://www.zhipin.com/gongsi/f4d46435748422ec1Hd509y9EA~~.html
python软件开发,北京·朝阳区·酒仙桥,Syntronic,28-35K,本科,通信/网络设备,5-10年,https://www.zhipin.com/gongsi/4237bb0a29431bc60Xdz2Ny8.html
(内容方向)服务端架构师,北京·海淀区·上地,百度,15-30K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
pathon/golang研发工程师,北京·海淀区·西三旗,一亩田,20-35K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/bb755b0d4351512d1nR_2dW1.html
自动化攻防渗透工具研发工程师,北京·海淀区·西北旺,华为,25-50K·15薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
策略开发工程师,北京·朝阳区·太阳宫,便利蜂,35-65K·14薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/551d062684338c9703Jz3N24.html
