231,后台研发工程师,北京,北京·海淀区·西北旺,腾讯,20-40K·15薪,40,20,30.0
233,后端开发工程师,北京,北京,百度,20-40K,40,20,30.0
235,平台后端研发工程师,北京,北京,百度,20-40K,40,20,30.0
244,python开发工程师,上海,上海·浦东新区·张江,百度,14-28K,28,14,21.0
250,Python,上海,上海,华为,20-40K·14薪,40,20,30.0
257,Python,上海,上海·杨浦区·五角场,字节跳动,25-50K·15薪,50,25,37.5
258,后台开发工程师,上海,上海·徐汇区·漕河泾,腾讯,30-40K·16薪,40,30,35.0
260,Python,上海,上海·浦东新区·陆家嘴,蚂蚁金服,20-40K·16薪,40,20,30.0
263,后台开发工程师,上海,上海·杨浦区·五角场,字节跳动,30-50K·15薪,50,30,40.0
278,服务端（高级）研发工程师-电商治理平台,上海,上海·杨浦区·五角场,字节跳动,25-35K·15薪,35,25,30.0
279,云原生架构研发工程师-AML,上海,上海·闵行区·虹梅路,字节跳动,30-50K·15薪,50,30,40.0
283,软件开发工程师,上海,上海·浦东新区·金桥,华为,18-30K,30,18,24.0
285,集成构建,上海,上海·浦东新区·金桥,华为,18-35K·14薪,35,18,26.5
327,Python开发工程师/专家,上海,上海·浦东新区·陆家嘴,蚂蚁金服,25-50K·13薪,50,25,37.5
347,软件开发工程师,上海,上海·浦东新区·金桥,华为,19-35K·13薪,35,19,27.0
352,游戏开发团队资深软件开发工程师（工具向）,上海,上海·浦东新区·张江,字节跳动,25-50K·16薪,50,25,37.5
358,研发工程师-高可用监控方向-短视频,上海,上海·闵行区·虹梅路,字节跳动,25-50K·15薪,50,25,37.5
359,后端开发工程师-国际化ToB推荐平台,上海,上海·闵行区·虹梅路,字节跳动,20-40K·15薪,40,20,30.0
361,21届和22届留学生校招,上海,上海·浦东新区·金桥,华为,18-25K,25,18,21.5
362,工具开发工程师,上海,上海·浦东新区·金桥,华为,18-28K·14薪,28,18,23.0
