name,actor,information,date,star,evaluate,introduction
血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,,8.7,789648人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
七武士,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...,时代悲歌。,,9.3,200789人评价,时代悲歌。
恐怖直播,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,恐怖分子的“秋菊打官司”。,,8.7,658601人评价,恐怖分子的“秋菊打官司”。
惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock   主演: 安东尼·博金斯 Antho...,故事的反转与反转，分裂电影的始祖。,,9.0,299979人评价,故事的反转与反转，分裂电影的始祖。
黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,,8.8,451431人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
你的名字。,导演: 新海诚 Makoto Shinkai   主演: 神木隆之介 Ryûnosuke Kamiki / 上...,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,,8.5,1423356人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
电锯惊魂,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,真相就在眼前。,,8.8,539662人评价,真相就在眼前。
三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...,怼天怼地，你走后，她与世界为敌。,,8.7,828013人评价,怼天怼地，你走后，她与世界为敌。
达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée   主演: 马修·麦康纳 Matthew McCon...,Jared Leto的腿比女人还美！,,8.8,457021人评价,Jared Leto的腿比女人还美！
疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,老少皆宜，这就是好莱坞动画的魅力。,,8.7,846721人评价,老少皆宜，这就是好莱坞动画的魅力。
心迷宫,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,,8.7,528131人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,像吃了苏打饼一样干脆的电影。,,8.8,422941人评价,像吃了苏打饼一样干脆的电影。
上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,被上帝抛弃了的上帝之城。,,9.0,303883人评价,被上帝抛弃了的上帝之城。
英雄本色,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,英雄泪短，兄弟情长。 ,,8.6,547303人评价,英雄泪短，兄弟情长。
风之谷,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,动画片的圣经。,,8.9,357620人评价,动画片的圣经。
纵横四海,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,香港浪漫主义警匪动作片的巅峰之作。,,8.8,430198人评价,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,当这个世界闭上双眼，他却敞开了怀抱。,,8.9,333377人评价,当这个世界闭上双眼，他却敞开了怀抱。
爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,,8.9,408453人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,导演: 是枝裕和 Hirokazu Koreeda   主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,是枝裕和的家庭习作。,,8.8,454090人评价,是枝裕和的家庭习作。
绿里奇迹,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 汤姆·汉克斯 Tom Hanks / ...,天使暂时离开。,,8.9,334065人评价,天使暂时离开。
记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...,一个针管引发的血案。,,8.7,610182人评价,一个针管引发的血案。
小丑,导演: 托德·菲利普斯 Todd Phillips   主演: 杰昆·菲尼克斯 Joaquin Phoeni...,,,8.7,1017084人评价,
疯狂的石头,导演: 宁浩 Hao Ning   主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,中国版《两杆大烟枪》。,,8.6,831285人评价,中国版《两杆大烟枪》。
背靠背，脸对脸,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   主演: 牛振华 Zhenhua N...,,,9.5,137083人评价,
岁月神偷,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,岁月流逝，来日可追。,,8.7,577844人评价,岁月流逝，来日可追。
雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   主演: 吉恩·...,骨灰级歌舞片。,,9.1,229228人评价,骨灰级歌舞片。
忠犬八公物语,导演: 神山征二郎 Seijirô Kôyama   主演: 仲代达矢 Tatsuya Nakadai /...,养狗三日，便会对你终其一生。,,9.2,197981人评价,养狗三日，便会对你终其一生。
2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick   主演: 凯尔·杜拉 Keir Dullea / ...,现代科幻电影的开山之作，最伟大导演的最伟大影片。,,8.9,335092人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
心灵奇旅,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   主演: 杰米·...,,,8.7,994264人评价,
荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron   主演: 达里奥·葛兰帝内提 Darío...,始于荒诞，止于更荒诞。,,8.8,448230人评价,始于荒诞，止于更荒诞。
