book_name
 计算机是怎样跑起来的 计算机网络概论图解趣味版 网络基础知识书籍 菜鸟程序员入门书籍
 深入理解计算机系统（原书第3版） IT图书领域的传奇图书，畅销全球的ICS核心教材，能让程序员脱胎换骨的书
 漫画计算机原理 在异世界从零制造计算机 漫画展示计算机组成原理，青少年、成人计算机科普读物，如何制造计算机，计算机原理教学参考书
 趣话计算机底层技术 一趟故事与技术的奇幻之旅。涵盖CPU存储IO操作系统编程安全六大主题。几十个故事之间既有关联让你像追剧一样学技术；也有一定独立性，随时翻开一篇都能有收获
 大话计算机：计算机系统底层架构原理极限剖析 全新版 
 计算机视觉——算法与应用 计算机视觉领域大师Richard Szeliski博士经典之作
 计算机组成原理 资深的计算机体系结构教育家Alan Clements博士编写，涵盖计算机系统的组成和体系结构的基本概念、指令系统以及处理器实现等涉及计算机组成原理课程的内容。
 这就是计算机（米莱童书，函套8册，这就是系列全新力作，给孩子的职业启蒙，21世纪孩子迫切需要的“扫盲科普书”） 得“计算机”者，得未来！一套给孩子的职业启蒙神器，提前入门学得快，编程、数据、算法..专门做给孩子的“计算机”科普餐。一套8册、6大分支、从教科书到生活常识，近200个知识点全面覆盖，让孩子赢在未来！
 计算机网络（第8版） “十二五”普通高等教育本科规划教材，计算机专业考研指定教材（谢希仁），销量超过400万册
 全国计算机等级考试二级MS Office高级应用与设计高频考点专攻 二级office考点选择题 上机考试题库软件配套视频
 计算机底层的秘密 计算机底层的秘密-限量签名版
 计算机网络创新教程 著名网络技术讲师韩立刚老师呕心编写，枯燥的理论不再靠想象，让数据在网络传输中“看得见”，经过超百万计算机网络技术“回炉学习者”验证，真正能学得透、用得上的网络技术佳作，基于华为网络设备
 云图2024计算机考研408真题实战 2009-2023历年真题试卷 
 计算机辅助设计——AutoCAD工程制图教程（赵武） 小案例快速上手AutoCAD 900余分钟的高清教学视频 近一百个GIF动画
 计算机应用基础（第五版） 
 什么是计算机 走进大学丛书 “专业介绍”红皮书，学科详解 专业导论 院士、长江学者亲自给大学生介绍专业，是高中生报志愿、选专业参考资料。
 计算机基础(第六版) 随书赠送配套的电子课件，获取地址见书内容简介和前言和封底二维码。教材服务QQ:1815317009。
 大学计算机基础与计算思维 
 计算机安全：原理与实践（英文版·原书第4版） 计算机安全领域的知名教材，全面介绍计算机安全的原理与实践
 大学计算机基础与计算思维实验指导 
 计算机信息技术 
 计算机网络 第8版+计算机网络释疑与习题解答+计算机网络实验指导书（套装共3册） 
 计算机图形学入门 3D渲染指南 计算机图形学编程入门零基础自学，3d建模教程书，动画影视特效游戏开发，简单明了的计算机图形学入门指南，专注于3D渲染，提供示例代码，轻松编写渲染器！
 计算机组成原理（陈智勇） 
 计算机科学概论（第13版） 计算机科学基础理论导引数据科学导论 数据分析思维算法导论，全景式展现计算机科学，在保持学科广度的同时，兼顾主题深度，导论性教材的不二之选
 计算机网络（第6版） 国际计算机网络权威作者Tanenbaum著作，著名译者潘爱民倾力翻译，教辅支持，请联系QQ381844463。
 计算机入门+编程入门书（套装共2册） 专为孩子编写的零基础计算机、编程入门书
 计算机图形学基础(OpenGL版)（第2版） 经典基础，强调编程，配套资源丰富，服务教学
 计算机图形学编程（使用OpenGL和C++）（第2版） 使用C++和OpenGL编写图形渲染方法，图形学初级教材，提供模型、图像文件、纹理文件、贴图文件、图表等配套资源，从立方体到3D模型，从水面到VR，实现属于你自己的景色。
 计算机二级 WPS 通关秘籍 
 计算机网络基础（第5版） 
 完全图解计算机网络原理 计算机入门书籍图书 计算机程序设计艺术 深入浅出计算机网络 一本书涵盖网络基础、网络构成、网络通信语言、网络数据传输、网络安全技术等知识，全面快速了解计算机网络原理。
 计算机程序设计能力考试（PAT）备考通 PAT考试中心组织，统一大纲、统一命题、统一标准，受到国内广泛认可的程序设计能力标准化考试 * 告别“出身歧视”，学校和专业不再是求职的绊脚石 * 即刻搭上谷歌中国、百度、阿里巴巴、腾讯、华为、网易雷
 计算机一级Office通关秘籍 
 计算机与人脑(汉译名著本9） 计算机之父约翰·冯·诺伊曼奠基之作
 计算机程序设计艺术 卷1：基本算法(英文版·第3版) 
 计算机辅助翻译基础 
 计算机辅助翻译教程（第2版） 高等学校“十二五”规划教材
 计算机程序设计艺术 卷2 半数值算法 英文版第3版 
 计算机软件技术基础学习指导 
 计算机程序设计艺术 卷4A：组合算法（一） 算法分析的史诗性著作 深入理解计算机算法的珍品 算法和程序设计技术的先驱者高德纳的经典作品 计算机科学领域的瑰宝 程序员案头的宝典 高等院校计算数学教学参考书
 计算机程序设计艺术 卷3：排序与查找(英文版·第2版) 
 计算机图形学——几何体数据结构 学习数据结构，体验计算机图形学的精髓！
 计算机视觉——飞桨深度学习实战 介绍工业界视觉应用系统的搭建，带领读者搭建图像识别系统，借鉴百度先进的视觉系统经验，提供课件与代码
 计算机系统结构(第二版) 
 全国计算机等级考试一级计算机基础及MS Office应用高频考点专攻 一级office考点选择题 上机考试题库软件配套视频
 量子计算机编程 从入门到实践（全彩印刷） 量子计算与编程入门基础教程书籍，圆形表示法阐释量子计算机编程概念原理与应用场景，在线实验网站辅助代码运行与可视化
 穿越计算机的迷雾（第2版） 
 计算机程序设计艺术 卷4A 组合算法一 英文版 
 CCF中学生计算机程序设计-入门篇 中国计算机学会推荐，CCF中学生计算机程序设计教材，noip竞赛参考书，中学生计算机编程经典教材，小学、初、高中计算机程序设计爱好者
 计算机组成原理及应用 
 计算机主板维修不是事儿（第2版） 
 计算机科学技术大辞典 上海交通大学原副校长盛焕烨主编，二十多位专家学者参加撰写和审阅，历时三年多编纂而成，收录计算机科学技术词目4600余条。
 计算机组成原理（第2版） 
 计算机网络技术 
 计算机图形学应用基础(CD) 普通高等教育“十一五”*规划教材
 全国计算机等级考试教程 一级计算机基础及WPS Office应用 未来教育出品2023年一级WPS等考教材，立体化教学资源，PPT课件+真题+习题解析，分析真考命题规律，零基础考生通过无忧。
 计算机组装与维护标准教程(全彩微课版) 双色印刷，图示清晰。配15节、30分钟视频课程。有专业答疑群为读者答疑解惑
 计算机视觉 Python+TensorFlow+Keras深度学习实战 微课视频版 本书在多年科研积累的基础上，指导读者建立以理论+实践+前沿为导向的“计算机视觉”学习思路，后以基于YOLO和DeepSort的目标检测与跟踪的综合案例完成实践
 计算机应用技能实战——全国计算机等级考试一级MS Office（活页版） 高等院校“双高”建设推荐教材。
book_name
 大学计算机基础（Windows10+Office2016 
 全国计算机等级考试一本通 二级Python语言程序设计 2023年全国计算机等级考试专用无纸化上机题库，含二级公共基础知识，模拟无纸化考试环境，13套历年考试真题，重点难点一本速通。
