,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
124,倩女幽魂 / 倩女幽魂(87版)  /  倩女幽魂：妖魔道,https://movie.douban.com/subject/1297447/,8.8,745702,导演: 程小东 Siu-Tung Ching,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,爱情 奇幻 武侠 古装
125,时空恋旅人 / About Time / 回到最爱的一天(港)  /  真爱每一天(台),https://movie.douban.com/subject/10577869/,8.8,683543,导演: 理查德·柯蒂斯 Richard Curtis,主演: 多姆纳尔·格里森 Domhnall Gl...,2013,英国,喜剧 爱情 奇幻
126,侧耳倾听 / 耳をすませば / 心之谷(台)  /  梦幻街少女(港),https://movie.douban.com/subject/1297052/,8.9,468259,导演: 近藤喜文 Yoshifumi Kondo,主演: 本名阳子 Youko Honna / 小林桂树 K...,1995,日本,剧情 爱情 动画
127,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),https://movie.douban.com/subject/1292274/,8.8,577984,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 汤姆·汉克斯 Tom Hanks...,2004,美国,喜剧 剧情 爱情
128,小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台) ,https://movie.douban.com/subject/25814707/,9.0,383013,导演: 森淳一 Junichi Mori,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015,日本,剧情
129,驯龙高手 / How to Train Your Dragon / 驯龙记(港),https://movie.douban.com/subject/2353023/,8.8,763957,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,主演:...,2010,美国,动画 奇幻 冒险
130,未麻的部屋 / Perfect Blue / 蓝色恐惧(港 / 台) ,https://movie.douban.com/subject/1395091/,9.1,341712,导演: 今敏 Satoshi Kon,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,动画 奇幻 惊悚
131,哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire / 哈利波特4：火杯的考验(港 / 台) ,https://movie.douban.com/subject/1309055/,8.8,672279,导演: 迈克·内威尔 Mike Newell,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,2005,英国 美国,悬疑 奇幻 冒险
132,一个叫欧维的男人决定去死 / En man som heter Ove / 明天别再来敲门(台)  /  想死冇咁易(港),https://movie.douban.com/subject/26628357/,8.9,490511,导演: 汉内斯·赫尔姆 Hannes Holm,主演: 罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,剧情
133,教父3 / The Godfather: Part III / 教父第三集  /  教父 III,https://movie.douban.com/subject/1294240/,9.0,379450,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 阿尔·帕西诺 A...,1990,美国,剧情 犯罪
